sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop,weight_attention_rollout
cub_00007,0,102,0.06276330943801439,0.06276330943801439,0.060202370205661285,0.10560463717556559,occlusion attention_rollout gradcam++,0.13865910771867615,0.1387033843418602,0.13733286240623577,0.13720298927369748,0.1637761254037378,0.13791676588823876,0.1464087649675537
cub_00047,0,24,0.46538601579377425,0.46538601579377425,0.4032582511310465,0.5780005610256922,integrated_gradients guided_backprop occlusion,0.11407171273335732,0.09989143275307473,0.172177920993511,0.16235411710974018,0.16759338848390395,0.1690542417983635,0.11485718612804915
cub_00103,1,1,0.7811317150248215,0.7811317150248215,0.7703463929472492,0.6232903280528262,occlusion gradient_shap integrated_gradients,0.13285697947655623,0.09154521713941903,0.15787949874552507,0.15894476240946284,0.16533869015866295,0.15040578402822907,0.14302906804214477
cub_00153,2,2,0.7434399191319244,0.7434399191319244,0.7237840071349637,0.7887549683480757,gradcam++ occlusion attention_rollout,0.1372939041550394,0.17285932460105685,0.11999826226908554,0.1219966075111356,0.16815748872388744,0.12478771591294817,0.15490669682684716
cub_00210,3,8,0.4222406134562334,0.4222406134562334,0.416721336147748,0.4507735774968751,guided_backprop integrated_gradients gradient_shap,0.11215512240442403,0.14081274494148724,0.1559048118898154,0.1551662524285013,0.14730756770389805,0.1571040358821624,0.13154946474971155
cub_00249,4,4,0.28535651322454214,0.28535651322454214,0.2799941269680858,0.28457368072122335,occlusion attention_rollout guided_backprop,0.1248620467353451,0.13922035034181718,0.13785290052649413,0.13770579170352576,0.16237940441404772,0.13943819959896697,0.15854130667980307
cub_00303,5,5,0.6526269490015693,0.6526269490015693,0.6027523705852218,0.7518724525463767,occlusion attention_rollout gradcam,0.15399677973647186,0.13803813209718266,0.11700732823087753,0.11801893325621328,0.19447376144138456,0.10095100977801423,0.1775140554598559
cub_00351,6,6,0.8322188007412479,0.8322188007412479,0.7925466450629756,0.8509702372131869,occlusion gradcam integrated_gradients,0.15631484366924914,0.10106958621082415,0.14746436643981042,0.1465124470065283,0.164913618881288,0.14590541737577384,0.13781972041652615
cub_00412,7,7,0.5293288629633026,0.5293288629633026,0.5279108982198523,0.6030197154555935,integrated_gradients gradient_shap occlusion,0.12659575040314042,0.10301957600481994,0.16823697133592086,0.1675545116675771,0.15179522952172372,0.15080399692866764,0.13199396413815026
cub_00453,8,53,0.17244762147893197,0.17244762147893197,0.16710463138879275,0.33827614458859895,gradcam++ occlusion gradcam,0.15198491737145872,0.16175037900795977,0.12882158509106206,0.13031967627545485,0.1611733936476122,0.13364294427072518,0.13230710433572723
