sample_id,method,label,target,deletion_auc,insertion_auc
cub_00005,gradcam,0,0,0.05685722968628398,0.2247470234899083
cub_00005,gradcam++,0,0,0.022760103413020264,0.26264144442102405
cub_00005,integrated_gradients,0,0,0.03862278346496168,0.3790198951639468
cub_00005,gradient_shap,0,0,0.025240244492306375,0.3751524632476503
cub_00005,occlusion,0,0,0.04726712244155351,0.5142578282539034
cub_00005,guided_backprop,0,0,0.07827416551590433,0.36961391202930827
cub_00009,gradcam,0,0,0.7192819863528713,0.5759308324733865
cub_00009,gradcam++,0,0,0.4701852295867866,0.6530602045037086
cub_00009,integrated_gradients,0,0,0.02566093021532652,0.8614162696670974
cub_00009,gradient_shap,0,0,0.02601727027104062,0.8620775213610614
cub_00009,occlusion,0,0,0.1196574511646759,0.8881979568075622
cub_00009,guided_backprop,0,0,0.025830287513053916,0.8066726482153171
cub_00016,gradcam,0,0,0.8321125213202322,0.3047700850322144
cub_00016,gradcam++,0,0,0.702220100318664,0.4114536918470548
cub_00016,integrated_gradients,0,0,0.1416273161470599,0.8124394847225631
cub_00016,gradient_shap,0,0,0.13587095167058583,0.8206887586187804
cub_00016,occlusion,0,0,0.23330111101677173,0.9267749173712219
cub_00016,guided_backprop,0,0,0.08413667500863087,0.8189189626515144
cub_00022,gradcam,0,0,0.7523654360469664,0.631188154607662
cub_00022,gradcam++,0,0,0.7706223553890597,0.6031278441165341
cub_00022,integrated_gradients,0,0,0.21856821284127362,0.694840757563361
cub_00022,gradient_shap,0,0,0.20732356039661684,0.7038943468156504
cub_00022,occlusion,0,0,0.44774729471537283,0.7843984755367274
cub_00022,guided_backprop,0,0,0.18517171922067066,0.6628989230579463
cub_00027,gradcam,0,0,0.1416977115746704,0.4726602612907299
cub_00027,gradcam++,0,0,0.06720147579617335,0.6500278841733234
cub_00027,integrated_gradients,0,0,0.09401948144077323,0.6118246265366907
cub_00027,gradient_shap,0,0,0.08796544528449887,0.6368814206362003
cub_00027,occlusion,0,0,0.07933278021228034,0.7769031001400435
cub_00027,guided_backprop,0,0,0.1866388551745331,0.6821268442698056
cub_00032,gradcam,0,0,0.08565458610246425,0.7241843630588847
cub_00032,gradcam++,0,0,0.08618686356057881,0.8320787502598248
cub_00032,integrated_gradients,0,0,0.028430726326769216,0.6781273937114747
cub_00032,gradient_shap,0,0,0.030529017240041867,0.6423629021417583
cub_00032,occlusion,0,0,0.05608515346248169,0.8625215767096962
cub_00032,guided_backprop,0,0,0.026056307938415558,0.651807508818456
cub_00043,gradcam,0,0,0.8089341479033466,0.4041243393046898
cub_00043,gradcam++,0,0,0.6706232220341919,0.39768911090941395
cub_00043,integrated_gradients,0,0,0.0477218900283333,0.7547355226386571
cub_00043,gradient_shap,0,0,0.046240058672992745,0.7614756550319726
cub_00043,occlusion,0,0,0.36115528684313175,0.8387627048563446
cub_00043,guided_backprop,0,0,0.03526862856524531,0.7844944349984871
cub_00048,gradcam,0,1,0.02165395268239081,0.29155616856587585
cub_00048,gradcam++,0,1,0.02214952068170533,0.5481826213421299
cub_00048,integrated_gradients,0,1,0.018821642716648056,0.7489430228335551
cub_00048,gradient_shap,0,1,0.018834532226901506,0.7316352989611915
cub_00048,occlusion,0,1,0.025137196897412648,0.6674223661510041
cub_00048,guided_backprop,0,1,0.020165649460977875,0.6773498743743404
cub_00051,gradcam,0,0,0.3244001170998673,0.8594328092556679
cub_00051,gradcam++,0,0,0.3373935340117897,0.8819865925383056
cub_00051,integrated_gradients,0,0,0.04785155870777089,0.7498648227570812
cub_00051,gradient_shap,0,0,0.04222835814871359,0.761003931882442
cub_00051,occlusion,0,0,0.5016256351722405,0.8830169392895186
cub_00051,guided_backprop,0,0,0.04290976333722938,0.6693181144451955
cub_00052,gradcam,0,2,0.2495730168389855,0.8452736135805027
cub_00052,gradcam++,0,2,0.1266894731728826,0.7515011992538347
cub_00052,integrated_gradients,0,2,0.055052114173304294,0.7756721657002345
cub_00052,gradient_shap,0,2,0.04386753291473724,0.7590335484826938
cub_00052,occlusion,0,2,0.27473119155038145,0.5953615321079269
cub_00052,guided_backprop,0,2,0.10243669369956479,0.7801847364986315
cub_00054,gradcam,0,0,0.15466451192769456,0.6190906001400436
cub_00054,gradcam++,0,0,0.23842771240597363,0.6303201366361463
cub_00054,integrated_gradients,0,0,0.05038851960998727,0.6580545759905362
cub_00054,gradient_shap,0,0,0.04353734376636568,0.6643025355559076
cub_00054,occlusion,0,0,0.051760810153791685,0.8626655073981965
cub_00054,guided_backprop,0,0,0.07041140486544463,0.6629710851382696
cub_00057,gradcam,0,0,0.3067754511866951,0.732283192887553
cub_00057,gradcam++,0,0,0.734906159932143,0.4301788655080599
cub_00057,integrated_gradients,0,0,0.05058779269020306,0.8420498031802708
cub_00057,gradient_shap,0,0,0.03366762067162199,0.8421159111108862
cub_00057,occlusion,0,0,0.19830883997783535,0.8876439271640266
cub_00057,guided_backprop,0,0,0.07482124062735239,0.8300312458683037
cub_00061,gradcam,1,1,0.03071864942030516,0.2992403456446482
cub_00061,gradcam++,1,1,0.06627949563262517,0.4011628066276899
cub_00061,integrated_gradients,1,1,0.015778854901145677,0.5032635043462506
cub_00061,gradient_shap,1,1,0.016638121899450197,0.5063641085376731
cub_00061,occlusion,1,1,0.1029415875062114,0.36954247444809885
cub_00061,guided_backprop,1,1,0.02624098979867995,0.43261972815671473
cub_00074,gradcam,1,1,0.47343820449023044,0.9052029401151231
cub_00074,gradcam++,1,1,0.4404165584681324,0.9095414340583375
cub_00074,integrated_gradients,1,1,0.03194181261642371,0.8554744022054365
cub_00074,gradient_shap,1,1,0.030822087070555428,0.8359777469275287
cub_00074,occlusion,1,1,0.07950783570704517,0.9155475676147036
cub_00074,guided_backprop,1,1,0.05639308455574793,0.8534227367577841
cub_00077,gradcam,1,1,0.4155633766713435,0.4957786671031499
cub_00077,gradcam++,1,1,0.515115094925568,0.45207773276779334
cub_00077,integrated_gradients,1,1,0.28273057171609256,0.5350680180621566
cub_00077,gradient_shap,1,1,0.2590503373954562,0.5713488052308093
cub_00077,occlusion,1,1,0.5375641752820228,0.5601755843352294
cub_00077,guided_backprop,1,1,0.39152366164198615,0.33313000285706945
cub_00087,gradcam,1,83,0.12904813664499673,0.4796036649378948
cub_00087,gradcam++,1,83,0.4694683061228716,0.18045817491365596
cub_00087,integrated_gradients,1,83,0.014731571910306232,0.2672745067742653
cub_00087,gradient_shap,1,83,0.014650583112961612,0.18836083508795126
cub_00087,occlusion,1,83,0.05326059802901,0.2924027301254682
cub_00087,guided_backprop,1,83,0.020106396441406105,0.19321915731998157
cub_00091,gradcam,1,1,0.025699084944790233,0.7509429842320968
cub_00091,gradcam++,1,1,0.02426644189545187,0.802797892698436
cub_00091,integrated_gradients,1,1,0.026329206070658986,0.7906209424225382
cub_00091,gradient_shap,1,1,0.02544015605380992,0.7994825393048813
cub_00091,occlusion,1,1,0.028147862374316903,0.8672115579334786
cub_00091,guided_backprop,1,1,0.030084206855826783,0.8060032218781997
