sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00005,0,0,0.21658556766342368,0.21658556766342368,0.20030571876559405,0.2910969302989543,occlusion gradcam gradcam++,0.1741890653950099,0.1733421804692337,0.14763467284065135,0.14757966141117437,0.20186525591987106,0.1553891639640595
cub_00054,0,0,0.5058122290647589,0.5058122290647589,0.47480913201579816,0.5472691118251533,occlusion gradcam gradcam++,0.20900215626220198,0.17971811341113747,0.12799760660578102,0.12775045681458663,0.21976960503587414,0.13576206187041887
cub_00097,1,1,0.8497538229566999,0.8497538229566999,0.848001504817512,0.8879357325844466,gradcam++ gradcam occlusion,0.19763255862999302,0.19951766309752036,0.13562639655909228,0.13264357719753261,0.18446754299222826,0.1501122615236333
cub_00143,2,2,0.8317061860230752,0.8317061860230752,0.7847016431507653,0.8557519827154466,occlusion gradcam++ gradcam,0.14651192164576818,0.21012774121275257,0.11896123108585556,0.12495501953028167,0.27415506400843637,0.12528902251690566
cub_00195,3,3,0.28492132113897245,0.28492132113897245,0.2886377509334125,0.2851424304550164,gradcam gradcam++ occlusion,0.1740930050086632,0.1714029235111596,0.15459402596417643,0.1632016411061041,0.17040419251526545,0.1663042118946312
cub_00246,4,4,0.38200660976581274,0.38200660976581274,0.37799051585607235,0.3613341211806983,gradcam++ occlusion gradcam,0.17331152672164757,0.19577978644015293,0.14622057307588412,0.15103767734672569,0.1793731842468761,0.1542772521687135
cub_00297,5,5,0.8922605076106266,0.8922605076106266,0.8849656679900363,0.8819681772263721,occlusion gradcam gradcam++,0.19892715649900822,0.19827921881671687,0.1371484184174607,0.13662000823251233,0.19974639479702783,0.12927880323727392
cub_00366,6,6,0.679354256892111,0.679354256892111,0.6565727413049899,0.695596250348899,gradcam++ occlusion gradcam,0.17306814924432273,0.2063048785092519,0.1372867019706325,0.1390233582658725,0.20481376243057395,0.13950314957934642
cub_00401,7,7,0.590346650162246,0.590346650162246,0.5842079499241664,0.561898268177174,gradcam++ gradcam occlusion,0.19363152658039043,0.19617474953074193,0.15532336193044738,0.14889423131311527,0.166790108388957,0.13918602225634802
cub_00454,8,8,0.12764625913696362,0.12764625913696362,0.12830410256283356,0.15382934428052977,gradcam integrated_gradients gradient_shap,0.18181473305998605,0.16177841321767203,0.17259292788420602,0.165461680785017,0.16316146823393265,0.15519077681918642
cub_00504,9,9,0.8603566425037571,0.8603566425037571,0.8504275938612409,0.9049999324721284,gradcam gradcam++ occlusion,0.2172950775087527,0.21349823340835183,0.1126992666969295,0.10000199464578334,0.20100615549271275,0.15549927224746976
cub_00551,10,92,0.48694632224505763,0.48694632224505763,0.4738460230524652,0.47663133091991766,occlusion gradcam++ gradcam,0.16504521979856054,0.16545793253786598,0.15452538291511508,0.14357489161798742,0.21757314720911528,0.1538234259213557
cub_00596,10,10,0.46996829672716556,0.46996829672716556,0.47277655828511345,0.44645008499501265,gradcam++ gradcam occlusion,0.19240084586482473,0.19344041740190243,0.13894625705182193,0.13571041792801847,0.19091115299578632,0.1485909087576462
cub_00655,11,11,0.8439798935316503,0.8439798935316503,0.8431015714071691,0.8624391552060843,occlusion gradcam++ gradcam,0.17755070290176966,0.17829080949762993,0.15784612417406668,0.15985601078721642,0.18984707298912462,0.1366092796501926
cub_00692,12,12,0.27386413878994065,0.27386413878994065,0.2802344096940942,0.27432499594287946,occlusion gradcam++ guided_backprop,0.15464682473873625,0.17313173407024496,0.165729521148527,0.16303120445076244,0.1748461012681079,0.16861461432362143
cub_00746,13,13,0.9275016337400303,0.9275016337400303,0.9273105054860935,0.9280761807924137,guided_backprop occlusion gradcam,0.1686821309041607,0.16853229332122016,0.16010789069908754,0.16153275357193742,0.1702732129395192,0.17087171856407496
cub_00804,14,14,0.8008368548471481,0.8008368548471481,0.7885917749721557,0.7758173939306289,gradcam gradcam++ occlusion,0.21167526635006076,0.209649758198457,0.13212835061662165,0.13048423301539902,0.1747174464818665,0.14134494533759523
cub_00850,15,15,0.8358417061972433,0.8358417061972433,0.8158376829582266,0.8730209151166491,occlusion gradcam gradcam++,0.19586674613441155,0.19567493823624266,0.1381974750597659,0.1311508777654574,0.19929505205682418,0.13981491074729815
cub_00908,16,16,0.8796682364656591,0.8796682364656591,0.8786057896330021,0.8970506049110556,gradcam gradcam++ occlusion,0.17179685783687518,0.17111342330370738,0.1656089187559765,0.1602760685608517,0.16627862766041965,0.16492610388216955
cub_00946,16,16,0.8841557375504635,0.8841557375504635,0.8813670478179119,0.91588416317245,gradcam gradcam++ guided_backprop,0.1791597969470552,0.1784929827679299,0.15941107739717014,0.15739659040250828,0.15862264060198833,0.1669169118833481
cub_00998,18,18,0.6453033961122855,0.6453033961122855,0.6385617485037074,0.6579674122622235,occlusion gradcam gradcam++,0.18473708854176957,0.18386561499556628,0.1391535348384305,0.14390248980270118,0.19418004963135901,0.15416122219017334
cub_01053,18,18,0.8937052769353613,0.8937052769353613,0.8834149760892615,0.9098553759744391,occlusion gradcam gradcam++,0.18292159024866186,0.181382372012463,0.13542389293103793,0.13916812166616233,0.20053773339743555,0.16056628974423934
cub_01108,19,19,0.4278025542851537,0.4278025542851537,0.41520279399119314,0.41772084995172915,occlusion gradcam++ gradcam,0.15300985949492446,0.1963680144968693,0.14728599759182692,0.14744396162828416,0.20799133720376592,0.14790082958432915
cub_01146,20,20,0.5364184908510652,0.5364184908510652,0.528274551773211,0.536840080464026,occlusion integrated_gradients gradcam,0.16304527111039865,0.15954254944985752,0.16558451104349348,0.15702746053837832,0.19213605976418355,0.16266414809368837
cub_01202,21,104,0.5120945086702705,0.5120945086702705,0.5238553712144494,0.4359042041935026,occlusion gradcam++ gradcam,0.15479590068991547,0.18400049541147712,0.1437563512875354,0.14269630504962497,0.2200580931547541,0.15469285440669295
cub_01246,22,0,0.23005445859598692,0.23005445859598692,0.2403675305045908,0.3799396035261452,gradcam gradcam++ occlusion,0.19443587065722867,0.18954858223623455,0.1443715705856034,0.14373421437951228,0.1776021631310232,0.15030759901039786
cub_01296,23,23,0.6583118704264052,0.6583118704264052,0.6032014014315791,0.6372171650757081,gradcam++ occlusion gradcam,0.15554965576398833,0.2311392005411193,0.15025913305720234,0.1525175809684196,0.17582576826722085,0.13470866140204973
cub_01346,24,22,0.3910036481218413,0.3910036481218413,0.3518030692590401,0.5588506834814325,gradcam gradcam++ occlusion,0.22021248555144524,0.20214971809613114,0.12656008861339824,0.12659697464731726,0.18982703048028643,0.13465370261142182
cub_01399,24,24,0.35549955587484866,0.35549955587484866,0.39669443467282683,0.6378688071446957,integrated_gradients gradient_shap guided_backprop,0.1261683403545697,0.14667606541292888,0.2201531201018592,0.19956997504536111,0.13986119489492876,0.16757130419035232
cub_01445,25,25,0.8225087341153994,0.8225087341153994,0.8222994666779414,0.8661614787066356,gradcam occlusion guided_backprop,0.1856784077876898,0.13199281720280365,0.1627105900077703,0.16841112557633947,0.17875428798599136,0.17245277143940535
