sample_id,concept_biomedclip_disc_height_loss,concept_biomedclip_disc_signal_loss,concept_biomedclip_endplate_change,concept_biomedclip_osteophyte_formation,concept_biomedclip_facet_hypertrophy,concept_biomedclip_ligamentum_flavum_thickening,concept_biomedclip_spinal_canal_narrowing,concept_biomedclip_neural_foraminal_narrowing,concept_biomedclip_disc_bulge_or_herniation,concept_biomedclip_abnormal_vertebral_alignment
4003253_702807833_8_spinal_canal_stenosis_l1_l2,0.5353115200996399,0.5595639944076538,0.6690160632133484,0.49821674823760986,0.26454535126686096,0.2873712182044983,0.3656398057937622,0.33981451392173767,0.3275497853755951,0.37180736660957336
4003253_702807833_8_spinal_canal_stenosis_l2_l3,0.17379936575889587,0.2142709195613861,0.28982704877853394,0.1439361721277237,0.09950683265924454,0.19272087514400482,0.1337461620569229,0.16301171481609344,0.1073911190032959,0.21248184144496918
4003253_702807833_8_spinal_canal_stenosis_l3_l4,0.6991215348243713,0.7467395067214966,0.6814161539077759,0.5096954703330994,0.2925974130630493,0.2975631654262543,0.49147629737854004,0.4113192558288574,0.40804794430732727,0.38347283005714417
4003253_702807833_8_spinal_canal_stenosis_l4_l5,0.6199074983596802,0.5677096247673035,0.6202412843704224,0.4646618962287903,0.2546747922897339,0.24094577133655548,0.47019311785697937,0.3657286465167999,0.2874854803085327,0.37378957867622375
4003253_702807833_8_spinal_canal_stenosis_l5_s1,0.5072391629219055,0.4346742630004883,0.47605952620506287,0.3232189118862152,0.21247120201587677,0.20937637984752655,0.47876498103141785,0.29799896478652954,0.23684075474739075,0.3143084943294525
4003253_1054713880_4_right_neural_foraminal_narrowing_l4_l5,0.772305428981781,0.6978650093078613,0.7575460076332092,0.5741225481033325,0.5786492824554443,0.3502325117588043,0.6979776620864868,0.4784931540489197,0.6780567169189453,0.7407702207565308
4003253_1054713880_4_right_neural_foraminal_narrowing_l5_s1,0.5757731199264526,0.4064713716506958,0.5875579118728638,0.3225773572921753,0.34887629747390747,0.2157745659351349,0.53279709815979,0.40860435366630554,0.5103143453598022,0.6130998730659485
4003253_1054713880_5_right_neural_foraminal_narrowing_l3_l4,0.8228474259376526,0.7743784785270691,0.8558528423309326,0.7783486247062683,0.7047182321548462,0.40403589606285095,0.7918221354484558,0.6574575304985046,0.7086159586906433,0.7480812072753906
4003253_1054713880_6_right_neural_foraminal_narrowing_l1_l2,0.7558503150939941,0.7010164260864258,0.6799720525741577,0.6303345561027527,0.6060885190963745,0.43406516313552856,0.7421060800552368,0.47748807072639465,0.6057319045066833,0.6587039232254028
4003253_1054713880_6_right_neural_foraminal_narrowing_l2_l3,0.5690988302230835,0.5075387954711914,0.5263123512268066,0.39358168840408325,0.41767632961273193,0.35117173194885254,0.5396440625190735,0.4100209176540375,0.540090024471283,0.5843684673309326
