sample_id,label,target,spearman_attention_rollout_vs_gradcam,top20_iou_attention_rollout_vs_gradcam,spearman_attention_rollout_vs_gradcam++,top20_iou_attention_rollout_vs_gradcam++,spearman_attention_rollout_vs_gradient_shap,top20_iou_attention_rollout_vs_gradient_shap,spearman_attention_rollout_vs_guided_backprop,top20_iou_attention_rollout_vs_guided_backprop,spearman_attention_rollout_vs_integrated_gradients,top20_iou_attention_rollout_vs_integrated_gradients,spearman_attention_rollout_vs_occlusion,top20_iou_attention_rollout_vs_occlusion,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
cub_00005,0,22,0.5468582342267436,0.19999601403061223,-0.06837620264297875,0.2656072644721907,0.5858969737439882,0.6223425753778999,0.6024247484583349,0.7485624673288029,0.5838336691752934,0.6256277336789243,0.08205608871385935,0.23432363326433703,-0.17195215029667157,0.19999601403061223,0.4806112147294126,0.19999601403061223,0.4733954457718963,0.19999601403061223,0.4805731767678976,0.19999601403061223,0.07811552973451348,0.20408163265306123,-0.12098249475146232,0.24441964285714285,-0.13787401034880623,0.25413984877835405,-0.12246189198557628,0.24310932177144626,-0.2039501443425591,0.14787974862707354,0.7017988546423048,0.6883990914444351,0.9913754726936495,0.9487328866880279,0.08000228791875104,0.22057672626572752,0.6990619767215709,0.6911021233569262,0.08950206562647767,0.2283412092572398,0.0792662680321607,0.22315395752895753,0.27281786250422857,0.3614466635001718
cub_00009,0,0,0.3692962598140345,0.19999601403061223,-0.13003094563526602,0.18100506060962693,0.44999509947143473,0.5122061482820977,0.6302565871194891,0.49552906110283157,0.40634556156064555,0.486886946214254,0.13922063091679313,0.42711339480537763,-0.2800059207464828,0.19999601403061223,0.33301707360684785,0.19999601403061223,0.3479070899192112,0.19999601403061223,0.32428738782668404,0.19999601403061223,0.3671129911559118,0.20408163265306123,-0.10055845469713255,0.14620217018846374,-0.19445777802174213,0.11673714667260182,-0.0958122314303378,0.147775363147661,0.04566880200233031,0.1436710288808664,0.563499581326168,0.5139171758316361,0.9390238238546551,0.8072940117064386,0.2796004426710588,0.38594572424636,0.5238483669023792,0.4711919073449641,0.07283417667357402,0.3501365119531198,0.2952643335524049,0.36928479773080297,0.2517291846591744,0.3218551500725345
cub_00016,0,0,0.23972896199952476,0.21312862669245647,0.0,0.19999601403061223,0.5475299351976973,0.4019279128248114,0.7520572600821818,0.6975386957624968,0.5232421583490088,0.38998545605651364,0.34066260872429643,0.36357522361961125,0.0,0.19999601403061223,0.1572423728642333,0.25320012488292226,0.2692780734073344,0.22797356828193832,0.1333103175141936,0.24195544554455445,0.10965996485255833,0.22315395752895753,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20408163265306123,0.6409884676351474,0.45741050032677366,0.9732144127520495,0.8571296381974646,0.29392003492824276,0.26127527216174184,0.6124491696901573,0.44046508289672004,0.3662157773843967,0.3211911898866154,0.28158222619740153,0.2575983128644089,0.29719436864659154,0.32436051001591
cub_00022,0,0,0.33479473565069107,0.17745057781427817,-0.535784686892123,0.0036501825091254563,0.3429064724741662,0.2894770653989464,0.34910074168405386,0.32287616160284716,0.3461688987948172,0.2839506172839506,0.09652531775702276,0.19953857075248463,-0.4385086680381326,0.005712567648827421,0.09917274197759002,0.15080275229357798,0.011278773981169415,0.13389830508474576,0.10283903516347073,0.14836642444355438,-0.03635095646550282,0.16202430077945895,-0.23138328540558015,0.04167747962838013,-0.11173500788670149,0.09301818973967978,-0.22435466184167613,0.04092111405010113,-0.18612124108028663,0.05985363303711448,0.49014272997827396,0.33844614871623874,0.9754053351217592,0.8369028006589786,0.13247578684086983,0.16122565864833907,0.48768776599987057,0.33328904537301535,0.23116106050059823,0.26033443152856345,0.11226695556242618,0.1493764172335601,0.11179465923222744,0.1996567830583699
cub_00027,0,44,-0.7212583086022146,0.0017969451931716084,-0.40443766348312493,0.09692929734455251,0.6685661907119902,0.4424320827943079,0.6799544839070433,0.6726393866155513,0.6772166305656246,0.45161290322580644,0.14700901986796924,0.25798845939070547,0.6780969594990878,0.43164800684589605,-0.47778065811534437,0.023144371941272432,-0.4937573771906465,0.002697841726618705,-0.47989819238843306,0.02158200142522651,0.0030084065042026505,0.14632215751682026,-0.25569859420777413,0.11070539419087137,-0.1689348513852805,0.09138352813264473,-0.25659099138788366,0.10806932332487029,0.08106008587698853,0.18270352227665035,0.6876361421637182,0.47965202005308166,0.9901105719930781,0.9318509962460294,0.19248814267355827,0.2457757296466974,0.700323121898386,0.4904203178375167,0.20704256502590154,0.2510026531745542,0.20068370275439043,0.24669495173092296,0.126420923175297,0.27081199479208423
cub_00032,0,0,0.7024994589562509,0.6204585822703051,-0.5082338176156314,0.026231017027151405,0.5303162465570849,0.5702996635631015,0.560146512778174,0.5923516344017772,0.5279213986418572,0.5645463049579046,0.033546238662235675,0.16872261932211205,-0.6071701171729943,0.007630905165921984,0.496644073689694,0.45621417688456795,0.5080973600502137,0.4758088235294118,0.49287161509900984,0.45168523072472155,0.07194875319058731,0.19742514616429457,-0.43606135413602926,0.045094771922516146,-0.456892159206445,0.056816386709493974,-0.439283056692362,0.045421398062298154,0.013538753615364853,0.050681453075607605,0.7252182887188393,0.6205086798546628,0.9894337404015386,0.9368847712796757,-0.08632437691301928,0.172236355226642,0.7252115726889696,0.6167230546157564,-0.21897338638266592,0.14103213461646688,-0.08600883118582259,0.17040928245684928,0.1684974720830881,0.33272297103958276
cub_00043,0,0,0.3529932606098608,0.19999601403061223,0.6463807041970571,0.4556135770234987,0.7494867251006331,0.5004485645933014,0.7952744724915217,0.5299588351882909,0.7424963362989068,0.5007851641366934,0.46972925905785246,0.34467435999469426,0.24375117271802565,0.19999601403061223,0.25366208934570467,0.19999601403061223,0.3087335478805107,0.19999601403061223,0.2558778566577033,0.19999601403061223,0.17013546429921708,0.20408163265306123,0.6089427421947511,0.4083222230018946,0.6022230964902248,0.33808920594706315,0.6143126819929919,0.41109470575827883,0.42232448122683675,0.38679890560875513,0.8211951327070033,0.49530621367903443,0.9830416237747449,0.879565461696947,0.42155300589960953,0.33704827222368766,0.8295254602453653,0.5174655980644186,0.4290665032174176,0.3093316112366807,0.41947675951598573,0.33696010550609956,0.5304848750439012,0.37883450030787913
cub_00048,0,1,-0.7449345925397617,0.03282737329560072,0.34833377437397745,0.32626362735381564,0.4959605833598718,0.45911172494003055,0.689114465206823,0.6655326916694324,0.5074633345653029,0.4637934806388099,-0.3782858568521746,0.17044733044733046,-0.33088863158053683,0.05315632051214777,-0.3374675814918688,0.08416162489196197,-0.5941675757868403,0.03139935248471144,-0.3474114937122471,0.08194070080862534,0.5098031560842861,0.20198008062603748,0.07897726846461234,0.29919730709476955,0.20840553848624346,0.3450841096441257,0.08158912302011614,0.3002073075926406,-0.3269319576335113,0.09808275563258233,0.6314422799035183,0.5073225685317311,0.9444139199446139,0.8228882833787466,-0.027638116859891506,0.22767181350287619,0.6242172296568614,0.5080021038395071,-0.25361729025632324,0.16289073702322915,-0.043520192914933704,0.22322775263951736,0.08261225635419703,0.2888185260261062
cub_00051,0,0,0.6250876936788213,0.4989917096123684,0.6673918021125251,0.6691616766467066,0.6543525437400983,0.5061913696060037,0.758495646955707,0.5900808112818887,0.660315340755696,0.5155176319565054,0.6135233380462553,0.6091269841269841,0.7066846969448388,0.6103666853887507,0.46211824479207037,0.374845869297164,0.49550960893452,0.3839470417873397,0.4679569083848264,0.3814702643171806,0.5310787912732836,0.43265969474279253,0.5313705247870244,0.46186903634642,0.5817784599131824,0.48545629487084596,0.5414894633755445,0.47465099191770754,0.5347836739477736,0.5103545887961859,0.7187193033204046,0.5159755268524813,0.9858344760876454,0.899488926746167,0.45777304695105375,0.4571654448756648,0.7298255805160582,0.533934576582085,0.5072865127348095,0.49212540476891375,0.4565348796304077,0.4634762523458929,0.604186216042026,0.5174693706126691
cub_00052,0,43,0.6043082685105283,0.19999601403061223,-0.16510439140991587,0.23121280903012084,0.5905706481193147,0.6358301410057869,0.6755809056150239,0.6782339660506731,0.6008578175870305,0.6495438481137503,-0.11022221765507888,0.16623526028185218,-0.185144085729402,0.19999601403061223,0.503081839527613,0.19999601403061223,0.5126449134617891,0.19999601403061223,0.5107401443193091,0.19999601403061223,0.126572781088174,0.20408163265306123,-0.06764323337277373,0.22692260667563272,-0.14762172820213718,0.20641981245491706,-0.0681343561310523,0.2262479379238712,0.09486685859587542,0.18761715089034678,0.7209214512383717,0.6761316185067646,0.986436161563413,0.9353905496624879,-0.14536667355659527,0.15153064122224116,0.7314600686236086,0.6901052631578948,-0.2533717538930513,0.13840539023020776,-0.153610059248781,0.14852999490171642,0.25532492185958394,0.34059136632925646
