sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00003,0,0,0.792883993149735,0.792883993149735,0.7882304075406865,0.8848782221088186,occlusion integrated_gradients gradient_shap,0.15711096412839534,0.15619904727090952,0.17226082368003098,0.16950648532285476,0.17916916573012295,0.16575351386768652
cub_00056,0,0,0.8697276621591299,0.8697276621591299,0.8683124309172855,0.8756273824721573,occlusion gradcam++ gradient_shap,0.16412434484661242,0.16473954197508536,0.1645836223831198,0.1646521463190029,0.18392892687008636,0.15797141760609326
cub_00107,1,1,0.9308471402036957,0.9308471402036957,0.9282752027618698,0.9382222702610306,occlusion gradcam++ gradient_shap,0.16162906343867536,0.1745138790773706,0.15983878638407897,0.17321469198571046,0.1763869888591051,0.15441659025505955
cub_00161,2,2,0.917371921101585,0.917371921101585,0.9192744536790997,0.912141196290031,gradcam occlusion gradient_shap,0.17200210208881134,0.15112348186197203,0.1684116177630665,0.16972204669520471,0.17186910146888618,0.16687165012205935
cub_00191,3,3,0.7623250770324376,0.7623250770324376,0.7526876215764788,0.763178691145731,occlusion gradcam++ gradcam,0.16941396681056328,0.17422649372615867,0.1630061723092668,0.1590562977851285,0.17429543903749936,0.16000163033138345
cub_00263,4,4,0.8890232988633215,0.8890232988633215,0.886575169209391,0.8898114928044379,occlusion gradcam gradcam++,0.17347663341739633,0.1713533027641729,0.16503161811721623,0.16212101096886244,0.17616422895748418,0.1518532057748679
cub_00305,5,5,0.8405770332785324,0.8405770332785324,0.8181496695848183,0.9013369077118114,occlusion gradient_shap integrated_gradients,0.15119998669234813,0.14212567098772066,0.17436117276134402,0.17685865548199772,0.1849916675075061,0.1704628465690834
cub_00358,6,6,0.917797783089918,0.917797783089918,0.9061476231348933,0.9121090502274456,occlusion gradient_shap integrated_gradients,0.15847310473447337,0.12585099075211498,0.18076023976273767,0.1853905168336008,0.1880405663527048,0.16148458156436846
cub_00400,7,7,0.90257979396265,0.90257979396265,0.9015923446742818,0.9069544411031529,occlusion gradcam++ gradient_shap,0.16862585475211056,0.17116283003578817,0.16635568645266582,0.16904075072833682,0.17288241072423466,0.15193246730686408
cub_00468,8,10,0.3324172955006361,0.3324172955006361,0.33211593329906464,0.3271113728173077,occlusion gradcam++ integrated_gradients,0.1587058491458291,0.166649938144678,0.16561436505935198,0.16533831423961956,0.1818552206203162,0.1618363127902052
cub_00507,9,9,0.9470206575526391,0.9470206575526391,0.9470150487555656,0.9477352129353676,occlusion integrated_gradients gradient_shap,0.16667184156064968,0.1666699103213855,0.16674204000758838,0.1667277449380616,0.16678627512906902,0.16640218804324586
