sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop,weight_attention_rollout
cub_00005,0,22,0.029102477070409798,0.029102477070409798,0.028974669814488145,0.17634931775100995,guided_backprop integrated_gradients gradient_shap,0.13062380027033454,0.1298268160885642,0.15510767968409206,0.15383474262467983,0.14291159566117254,0.15598321544406746,0.13171215022708932
cub_00054,0,22,0.13775503803044556,0.13775503803044556,0.12362214784952812,0.1520053178188391,occlusion gradcam attention_rollout,0.1492911410486601,0.13243531770854736,0.13142366613684364,0.13155018876086425,0.19009203885497855,0.13063268378881562,0.13457496370129038
cub_00097,1,1,0.4395709959582745,0.4395709959582745,0.43493795262438645,0.49496166928693125,attention_rollout integrated_gradients gradient_shap,0.1128113444636193,0.1219085896006132,0.1544986338697127,0.1542327226499919,0.14460369930160027,0.152718606353654,0.1592264037608085
cub_00143,2,2,0.07039924727869218,0.07039924727869218,0.06858510423335246,0.045783573325024904,occlusion guided_backprop integrated_gradients,0.13908340212566395,0.1350791275941395,0.14164307735683765,0.14090053618177995,0.1567702043550117,0.14999155996893562,0.13653209241763162
cub_00195,3,3,0.4735199622402433,0.4735199622402433,0.4886056900548283,0.5216969128290656,occlusion guided_backprop attention_rollout,0.09902532524497247,0.1332082634780085,0.13960492830865157,0.14057382965721235,0.1775198263253079,0.1650386450801731,0.14502918190567424
cub_00246,4,7,0.08965552886074875,0.08965552886074875,0.08517633072624448,0.12747586748155298,occlusion attention_rollout guided_backprop,0.1351560536437126,0.13418564651249973,0.14048873005890086,0.1405612009926578,0.15891843937218836,0.1420300154545326,0.14865991396550812
cub_00297,5,5,0.8511101099429652,0.8511101099429652,0.8514244901714846,0.8833537633297964,attention_rollout integrated_gradients gradient_shap,0.12623354335798495,0.12955885758016028,0.14975658295299038,0.14838286757962102,0.14087851528598022,0.1451788069798461,0.16001082626341703
cub_00366,6,6,0.8908080112982134,0.8908080112982134,0.888212652211223,0.8717212525058129,attention_rollout guided_backprop occlusion,0.10717535821885449,0.1459350744469052,0.1485316271489215,0.14654297476520567,0.1488155302048495,0.1492955528758475,0.1537038823394161
cub_00401,7,7,0.2781894178973744,0.2781894178973744,0.27603522999270347,0.34971894204791165,occlusion attention_rollout guided_backprop,0.13011157574816581,0.13620238744713378,0.13333858596766487,0.13230270894027,0.18975931573710197,0.13821634396434043,0.14006908219532316
cub_00454,8,8,0.06023911071242765,0.06023911071242765,0.06113760421285405,0.09140258362749591,occlusion gradcam attention_rollout,0.15070878626387862,0.14118337293037655,0.13671106334131647,0.13718615650794908,0.15354016382737032,0.13796220713729215,0.14270824999181683
cub_00504,9,9,0.8552913308900315,0.8552913308900315,0.8620231431734283,0.8809649959963279,occlusion attention_rollout gradient_shap,0.13771470803966507,0.07605923614083217,0.15167564137755227,0.15196439825282898,0.17304278697239933,0.14485168522147873,0.16469154399524347
cub_00551,10,92,0.09326837003754916,0.09326837003754916,0.09077899584372061,0.16858960583631416,guided_backprop integrated_gradients gradient_shap,0.1339269664407303,0.13675879422241033,0.14697689296135105,0.14674199674698174,0.14381845979526747,0.15401036572853527,0.1377665241047238
cub_00596,10,94,0.05181348870537476,0.05181348870537476,0.04741039718064713,0.1347483064237167,guided_backprop integrated_gradients occlusion,0.1365438859804279,0.13200322400056458,0.14917095343292774,0.14841530410545264,0.14881040316797395,0.15045968274380753,0.13459654656884562
cub_00655,11,11,0.9098371044674423,0.9098371044674423,0.9027284518757369,0.9058775410929228,attention_rollout occlusion integrated_gradients,0.0898019499375867,0.14775007992333036,0.15139839724806145,0.15100063944153017,0.15603756349364045,0.14695926685314495,0.15705210310270587
cub_00692,12,9,0.11950925065320914,0.11950925065320914,0.1023116432421375,0.4062729786906857,integrated_gradients gradient_shap guided_backprop,0.13353448806939444,0.11622412527337941,0.16272865645541149,0.16037827690080153,0.12529294939174762,0.1538761826715666,0.14796532123769893
cub_00746,13,13,0.28272541955811903,0.28272541955811903,0.2820822072098963,0.2663415831397287,gradient_shap integrated_gradients gradcam++,0.12288309528054353,0.14536909745273605,0.1528550730063131,0.15329469862706926,0.13948057473984865,0.14302699210164205,0.1430904687918474
cub_00804,14,14,0.12222163988335524,0.12222163988335524,0.12247575290093664,0.12161347955989184,guided_backprop attention_rollout integrated_gradients,0.14359555942360783,0.13730107846161865,0.14417058956144782,0.14357413783028142,0.13878981470443746,0.14760954483095212,0.14495927518765475
cub_00850,15,15,0.7133530478633475,0.7133530478633475,0.6964751865423751,0.7520732860721182,attention_rollout occlusion gradcam,0.1450555922117365,0.14178934005471133,0.13253310506871915,0.13434482019384414,0.16195617588411823,0.11696107074999194,0.16735989583687869
cub_00908,16,16,0.8713649985198572,0.8713649985198572,0.8680752967302396,0.9254531514648988,gradcam++ attention_rollout guided_backprop,0.13981623818770794,0.147822353419395,0.14289359980410934,0.14071763135417445,0.13885857403912627,0.1437452412955246,0.14614636189996236
cub_00946,16,16,0.8206521482024982,0.8206521482024982,0.8075053742904856,0.874712756723602,gradcam gradcam++ integrated_gradients,0.15718340425409555,0.15641334953600147,0.14905585059469564,0.1475470824586199,0.10964866136720249,0.13395110697764384,0.1462005448117411
cub_00998,18,18,0.8422891911817714,0.8422891911817714,0.8357214879943058,0.8809793969616294,occlusion guided_backprop integrated_gradients,0.09652698670410648,0.0987748219978842,0.15768793194593217,0.15634680523120273,0.17234294805358832,0.1634087484842875,0.1549117575829986
cub_01053,18,18,0.8382745421258732,0.8382745421258732,0.8186926052672789,0.8096335293026641,occlusion attention_rollout gradcam++,0.08962972263180573,0.1582853450529356,0.12654616566719737,0.1272478673319021,0.1783243462043291,0.15779026890681833,0.16217628420501173
cub_01108,19,19,0.2951315341459121,0.2951315341459121,0.28997284392826256,0.3241395422315691,occlusion integrated_gradients guided_backprop,0.12406087011802595,0.12661270136189856,0.15284798656375792,0.1491608991808802,0.15694492090350642,0.1504051502353409,0.13996747163658996
cub_01146,20,20,0.5870129743852885,0.5870129743852885,0.5857492769398961,0.5893076954671415,gradcam++ guided_backprop integrated_gradients,0.1370688517616843,0.15153212325304055,0.14347905366430166,0.14290006185748652,0.14007679455370847,0.1451860881013612,0.1397570268084172
cub_01202,21,104,0.33813039728484,0.33813039728484,0.31985999400421866,0.29933920136463704,occlusion integrated_gradients gradient_shap,0.13284715506238234,0.12668150771118666,0.15068743051483333,0.15047941098603626,0.1554060832971164,0.14604952951312888,0.13784888291531627
cub_01246,22,22,0.0255118530942127,0.0255118530942127,0.024453993467614045,0.06250278812367469,occlusion attention_rollout gradcam,0.14830428135259707,0.14769150280685792,0.13410841809621804,0.13392635406021558,0.1521163368910568,0.13413948789244712,0.14971361890060753
cub_01296,23,23,0.5375668991007841,0.5375668991007841,0.5245571992010809,0.61298523634905,occlusion attention_rollout gradient_shap,0.14193310019543737,0.1131732313133124,0.1420380639223442,0.1432855010763621,0.18463503089437827,0.12155356972537816,0.15338150287278743
cub_01346,24,22,0.20137836237117876,0.20137836237117876,0.18044806294492444,0.31276585490850256,occlusion integrated_gradients gradcam,0.137017471717888,0.13036189827687314,0.1382889378163268,0.1357494270755261,0.1927202781316312,0.13625329665912791,0.1296086903226269
cub_01399,24,22,0.09371657452429642,0.09371657452429642,0.09203521728049964,0.14314712036866692,occlusion gradcam gradcam++,0.14552677825506422,0.14420610530527467,0.13835986323562718,0.1385609769280809,0.15438147186680012,0.13702320090312578,0.1419416035060271
cub_01445,25,25,0.2979462395742303,0.2979462395742303,0.29532005766814107,0.3219983463961398,gradcam++ attention_rollout gradient_shap,0.13881884707474507,0.15852951469896298,0.13997255871099218,0.14157076794331575,0.13467761224341082,0.13884557529103628,0.14758512403753685
